b241413,2026-03-13,15:49:16,0.917
b240263,2026-03-13,15:49:40,0.874
b241413,2026-03-17,12:27:27,0.726
b240263,2026-03-17,12:27:54,0.73
b241413,2026-03-17,12:47:01,0.807
b241413,2026-03-17,13:00:18,0.848
b240263,2026-03-17,13:00:22,0.789
b241413,2026-03-17,13:55:38,0.633
b240263,2026-03-17,13:56:00,0.835
b241413,2026-03-17,14:01:38,0.661
b241219,2026-03-17,14:01:44,0.928
b241413,2026-03-17,14:28:05,0.89
b240263,2026-03-17,14:28:21,0.59
b241219,2026-03-17,14:38:59,0.586
b241413,2026-03-17,14:39:03,0.62
b240263,2026-03-17,14:39:34,0.464
b240263,2026-03-25,10:34:53,0.522
b241413,2026-03-25,10:35:08,0.452
b241219,2026-03-25,10:35:27,0.452
b240263,2026-03-30,12:15:10,0.763
b241219,2026-03-30,12:15:20,0.588
b241413,2026-03-30,12:15:25,0.537
b241413,2026-03-30,13:37:41,0.693
b241106,2026-03-30,13:38:08,0.534
b241413,2026-03-30,23:13:47,0.624
b241388,2026-03-30,23:15:34,0.844
b241106,2026-04-04,17:07:19,0.687
b241219,2026-04-04,17:07:23,0.594
b241413,2026-04-04,17:07:25,0.798
b241388,2026-04-04,17:07:32,0.754
b240263,2026-04-04,17:07:48,0.562
b241413,2026-04-04,22:14:40,0.762
b241413,2026-04-04,23:19:51,0.767
b241413,2026-04-06,09:56:44,0.515
b240263,2026-04-06,09:56:51,0.734
b241106,2026-04-06,09:57:24,0.626
b241219,2026-04-06,09:58:39,0.594
b241413,2026-04-06,21:46:07,0.612
b241413,2026-04-06,21:59:49,0.584
b241413,2026-04-06,23:14:34,0.793
b241219,2026-04-06,23:14:44,0.555
b241388,2026-04-07,13:04:11,0.817
b240263,2026-04-07,13:04:12,0.466
b241219,2026-04-07,13:04:39,0.667
b241413,2026-04-07,13:04:47,0.804
